route_id,origin,destination,distance_nm,transit_days,transshipments,route_type,base_freight_usd
R066,Sydney,New York,8700,24,1,Standard,2400
R067,New York,Chennai,7500,21,2,Alternative,1900
R068,Shanghai,Tokyo,1100,3,0,Direct,700
R069,Rotterdam,Shanghai,10500,28,1,Standard,2950
R070,Singapore,Shanghai,2100,7,1,Recommended,1000
R071,Dubai,Los Angeles,8100,22,1,Standard,2200
R072,Chennai,Shanghai,2800,7,0,Direct,1050
R073,Hamburg,Dubai,4100,11,0,Direct,1450
R074,Los Angeles,Dubai,8100,23,2,Alternative,2150
R075,Tokyo,Shanghai,1100,4,1,Recommended,750
R076,Sydney,Hamburg,11400,34,2,Alternative,2900
R077,New York,Tokyo,8500,24,2,Alternative,2250
R078,Shanghai,Chennai,2800,8,1,Recommended,1100
R079,Rotterdam,Sydney,11500,33,1,Standard,2900
R080,Singapore,Rotterdam,8200,21,0,Direct,2200
R081,Dubai,Hamburg,4100,12,1,Recommended,1500
R082,Chennai,Rotterdam,8650,26,2,Alternative,1400
R083,Hamburg,Chennai,8400,22,0,Direct,1700
R084,Los Angeles,Singapore,7600,21,1,Standard,2300
R085,Tokyo,Hamburg,11200,30,1,Standard,2800
R086,Sydney,Tokyo,4860,14,1,Recommended,1450
R087,New York,Sydney,8700,25,2,Alternative,2350
R088,Shanghai,New York,8600,23,1,Standard,2400
R089,Rotterdam,Tokyo,11300,30,1,Standard,3100
R090,Singapore,Sydney,3400,10,1,Recommended,1450
R091,Dubai,Rotterdam,6400,17,0,Direct,1950
R092,Chennai,Singapore,1600,6,2,Alternative,850
R093,Hamburg,Rotterdam,300,2,1,Alternative,850
R094,Los Angeles,Chennai,8200,24,2,Alternative,2000
R095,Tokyo,Dubai,4300,14,2,Alternative,1550
R096,Sydney,Los Angeles,6500,19,1,Recommended,2150
R097,New York,Shanghai,8600,24,2,Alternative,2300
R098,Shanghai,Dubai,3500,10,1,Recommended,1450
R099,Rotterdam,Hamburg,300,1,0,Direct,800
R100,Singapore,Tokyo,2900,9,2,Alternative,1050
R101,Dubai,Sydney,6500,19,2,Alternative,2250
R102,Chennai,Los Angeles,8200,21,0,Direct,2200
R103,Hamburg,New York,3500,11,2,Alternative,1350
R104,Los Angeles,Shanghai,5700,16,2,Alternative,2000
R105,Tokyo,Sydney,4860,15,2,Alternative,1400
R106,Sydney,Rotterdam,11500,32,0,Direct,2950
R107,New York,Rotterdam,3400,10,2,Alternative,1200
R108,Shanghai,Singapore,2100,8,2,Alternative,900
R109,Rotterdam,Singapore,8200,24,2,Alternative,2050
R110,Singapore,Dubai,3200,11,2,Alternative,1250
R111,Dubai,Shanghai,5100,15,2,Alternative,1650
R112,Chennai,Hamburg,8400,25,2,Alternative,1550
R113,Hamburg,Tokyo,11200,32,3,Alternative,3000
R114,Los Angeles,Sydney,6500,18,1,Recommended,2050
R115,Tokyo,Los Angeles,4800,12,1,Recommended,1750
R116,Sydney,Shanghai,4300,14,2,Alternative,1500
R117,New York,Los Angeles,4300,14,2,Alternative,1500
R118,Shanghai,Sydney,4300,11,0,Direct,1600
R119,Rotterdam,Chennai,8650,23,0,Direct,2300
R120,Singapore,New York,8300,22,0,Direct,2400
R121,Dubai,Chennai,1500,6,2,Alternative,800
R122,Chennai,Sydney,4900,13,0,Direct,1750
R123,Hamburg,Singapore,8400,22,0,Direct,2300
R124,Los Angeles,Hamburg,8200,21,0,Direct,2350
R125,Tokyo,Rotterdam,11300,29,0,Direct,3200
R126,Chennai,New York,7500,19,0,Direct,2000
R127,Rotterdam,Dubai,6400,18,1,Recommended,1900
R128,Tokyo,Singapore,2900,7,0,Direct,1150
R129,Sydney,Shanghai,4300,12,1,Recommended,1500
R130,Los Angeles,Hamburg,8200,22,1,Standard,2200
R131,Hamburg,New York,3500,9,0,Direct,1300
R132,Singapore,Los Angeles,7600,19,0,Direct,2400
R133,New York,Rotterdam,3400,8,0,Direct,1250
R134,Dubai,Shanghai,5100,14,1,Recommended,1700
R135,Shanghai,Sydney,4300,12,1,Recommended,1500
R136,Chennai,Singapore,1600,4,0,Direct,800
R137,Rotterdam,Sydney,11500,31,0,Direct,3100
R138,Tokyo,Hamburg,11200,30,1,Standard,2800
R139,Sydney,Los Angeles,6500,18,0,Direct,2200
R140,Los Angeles,Tokyo,4800,11,0,Direct,1750
R141,Hamburg,Singapore,8400,23,1,Standard,2100
R142,Singapore,Hamburg,8400,23,1,Standard,2100
R143,New York,Hamburg,3500,10,1,Recommended,1400
R144,Dubai,Rotterdam,6400,18,1,Standard,1900
R145,Shanghai,Rotterdam,10500,29,2,Alternative,2900
R146,Chennai,Tokyo,3500,9,0,Direct,1200
R147,Rotterdam,New York,3400,9,1,Recommended,1350
R148,Tokyo,Sydney,4860,12,0,Direct,1500
R149,Sydney,Singapore,3400,9,0,Direct,1400
R150,Los Angeles,New York,4300,12,0,Direct,1500
R151,Hamburg,Rotterdam,300,1,0,Direct,800
R152,Singapore,Tokyo,2900,7,0,Direct,1100
R153,New York,Dubai,6100,16,0,Direct,2200
R154,Dubai,Chennai,1500,4,0,Direct,850
R155,Shanghai,Los Angeles,5700,14,0,Direct,1900
R156,Chennai,Dubai,1500,5,1,Recommended,950
R157,Rotterdam,Chennai,8650,25,2,Standard,2200
R158,Tokyo,Dubai,4300,13,1,Recommended,1600
R159,Sydney,Dubai,6500,17,0,Direct,2300
R160,Los Angeles,Shanghai,5700,15,1,Recommended,2050
R161,Hamburg,Dubai,4100,11,0,Direct,1450
R162,Singapore,Chennai,1600,5,1,Recommended,900
R163,New York,Los Angeles,4300,13,1,Standard,1550
R164,Dubai,New York,6100,17,1,Standard,2350
R165,Shanghai,Hamburg,10800,30,2,Alternative,3050
R166,Chennai,Sydney,4900,14,1,Recommended,1650
R167,Rotterdam,Hamburg,300,2,1,Alternative,850
R168,Tokyo,Chennai,3500,10,1,Recommended,1250
R169,Sydney,Chennai,4900,14,1,Recommended,1650
R170,Los Angeles,Hamburg,8200,23,2,Alternative,2150
R171,Hamburg,Los Angeles,8200,22,1,Standard,2200
R172,Singapore,Dubai,3200,9,0,Direct,1300
R173,New York,Singapore,8300,23,1,Standard,2300
R174,Dubai,Tokyo,4300,12,0,Direct,1500
R175,Shanghai,Dubai,3500,9,0,Direct,1400
R176,Chennai,New York,7500,20,1,Standard,1950
R177,Rotterdam,Los Angeles,7800,21,1,Standard,2100
R178,Tokyo,New York,8500,23,1,Standard,2300
R179,Sydney,New York,8700,24,1,Standard,2400
R180,Los Angeles,Rotterdam,7800,22,2,Alternative,2100
R181,Hamburg,Shanghai,10800,28,1,Standard,3100
R182,Singapore,New York,8300,24,2,Alternative,2200
R183,New York,Chennai,7500,21,2,Alternative,1900
R184,Dubai,Singapore,3200,10,1,Recommended,1350
R185,Shanghai,Tokyo,1100,3,0,Direct,700
R186,Chennai,Shanghai,2800,7,0,Direct,1050
R187,Rotterdam,Shanghai,10500,28,1,Standard,2950
R188,Tokyo,Shanghai,1100,4,1,Recommended,750
R189,Sydney,Hamburg,11400,34,2,Alternative,2900
R190,Los Angeles,Dubai,8100,23,2,Alternative,2150
R191,Hamburg,Dubai,4100,11,0,Direct,1450
R192,Singapore,Shanghai,2100,7,1,Recommended,1000
R193,New York,Tokyo,8500,24,2,Alternative,2250
R194,Dubai,Los Angeles,8100,22,1,Standard,2200
R195,Shanghai,Chennai,2800,8,1,Recommended,1100
R196,Chennai,Rotterdam,8650,26,2,Alternative,1400
R197,Rotterdam,Sydney,11500,33,1,Standard,2900
R198,Tokyo,Hamburg,11200,30,1,Standard,2800
R199,Sydney,Tokyo,4860,14,1,Recommended,1450
R200,Los Angeles,Singapore,7600,21,1,Standard,2300
R201,Hamburg,Chennai,8400,22,0,Direct,1700
R202,Singapore,Rotterdam,8200,21,0,Direct,2200
R203,New York,Sydney,8700,25,2,Alternative,2350
R204,Dubai,Hamburg,4100,12,1,Recommended,1500
R205,Shanghai,New York,8600,23,1,Standard,2400
R206,Chennai,Singapore,1600,6,2,Alternative,850
R207,Rotterdam,Tokyo,11300,30,1,Standard,3100
R208,Tokyo,Dubai,4300,14,2,Alternative,1550
R209,Sydney,Los Angeles,6500,19,1,Recommended,2150
R210,Los Angeles,Chennai,8200,24,2,Alternative,2000
R211,Hamburg,Rotterdam,300,2,1,Alternative,850
R212,Singapore,Sydney,3400,10,1,Recommended,1450
R213,New York,Shanghai,8600,24,2,Alternative,2300
R214,Dubai,Rotterdam,6400,17,0,Direct,1950
R215,Shanghai,Dubai,3500,10,1,Recommended,1450
R216,Chennai,Los Angeles,8200,21,0,Direct,2200
R217,Rotterdam,Hamburg,300,1,0,Direct,800
R218,Tokyo,Sydney,4860,15,2,Alternative,1400
R219,Sydney,Rotterdam,11500,32,0,Direct,2950
R220,Los Angeles,Shanghai,5700,16,2,Alternative,2000
R221,Hamburg,New York,3500,11,2,Alternative,1350
R222,Singapore,Tokyo,2900,9,2,Alternative,1050
R223,New York,Rotterdam,3400,10,2,Alternative,1200
R224,Dubai,Sydney,6500,19,2,Alternative,2250
R225,Shanghai,Singapore,2100,8,2,Alternative,900
R226,Chennai,Hamburg,8400,25,2,Alternative,1550
R227,Rotterdam,Singapore,8200,24,2,Alternative,2050
R228,Tokyo,Los Angeles,4800,12,1,Recommended,1750
R229,Sydney,Shanghai,4300,14,2,Alternative,1500
R230,Los Angeles,Sydney,6500,18,1,Recommended,2050
R231,Hamburg,Tokyo,11200,32,3,Alternative,3000
R232,Singapore,Dubai,3200,11,2,Alternative,1250
R233,New York,Los Angeles,4300,14,2,Alternative,1500
R234,Dubai,Shanghai,5100,15,2,Alternative,1650
R235,Shanghai,Sydney,4300,11,0,Direct,1600
R236,Chennai,Sydney,4900,13,0,Direct,1750
R237,Rotterdam,Chennai,8650,23,0,Direct,2300
R238,Tokyo,Rotterdam,11300,29,0,Direct,3200
R239,Sydney,New York,8700,22,0,Direct,2500
R240,Los Angeles,Hamburg,8200,21,0,Direct,2350
R241,Hamburg,Singapore,8400,22,0,Direct,2300
R242,Singapore,New York,8300,22,0,Direct,2400
R243,New York,Chennai,7500,19,0,Direct,2100
R244,Dubai,Chennai,1500,6,2,Alternative,800
R245,Shanghai,Rotterdam,10500,27,0,Direct,3000
R246,Chennai,Rotterdam,8650,22,0,Direct,2300
R247,Rotterdam,Tokyo,11300,33,3,Alternative,3300
R248,Tokyo,Singapore,2900,8,1,Recommended,1150
R249,Sydney,Dubai,6500,18,1,Standard,2450
R250,Los Angeles,New York,4300,14,2,Alternative,1600
R251,Hamburg,Dubai,4100,12,1,Recommended,1500
R252,Singapore,Hamburg,8400,24,2,Standard,2200
R253,New York,Los Angeles,4300,12,0,Direct,1500
R254,Dubai,New York,6100,16,0,Direct,2200
R255,Shanghai,Los Angeles,5700,15,1,Recommended,2050
R256,Chennai,Tokyo,3500,10,1,Recommended,1250
R257,Rotterdam,Sydney,11500,34,2,Alternative,3000
R258,Tokyo,Dubai,4300,12,0,Direct,1500
R259,Sydney,Shanghai,4300,13,1,Standard,1550
R260,Los Angeles,Tokyo,4800,13,2,Alternative,1850
R261,Hamburg,Shanghai,10800,30,2,Alternative,3200
R262,Singapore,Chennai,1600,6,2,Alternative,950
R263,New York,Dubai,6100,18,2,Alternative,2450
R264,Dubai,Rotterdam,6400,19,2,Standard,2000
R265,Shanghai,Hamburg,10800,28,1,Standard,3100
R266,Chennai,New York,7500,21,2,Alternative,2050
R267,Rotterdam,Los Angeles,7800,22,2,Alternative,2200
R268,Tokyo,New York,8500,24,2,Alternative,2400
R269,Sydney,Chennai,4900,15,2,Alternative,1750
R270,Los Angeles,Rotterdam,7800,21,1,Standard,2100
R271,Hamburg,Los Angeles,8200,23,2,Alternative,2300
R272,Singapore,New York,8300,23,1,Standard,2300
R273,New York,Singapore,8300,24,2,Alternative,2400
R274,Dubai,Singapore,3200,9,0,Direct,1300
R275,Shanghai,Dubai,3500,10,1,Recommended,1450
R276,Chennai,Dubai,1500,4,0,Direct,850
R277,Rotterdam,Hamburg,300,2,1,Alternative,850
R278,Tokyo,Shanghai,1100,3,0,Direct,700
R279,Sydney,New York,8700,25,2,Alternative,2600
R280,Los Angeles,Dubai,8100,22,1,Standard,2200
R281,Hamburg,Rotterdam,300,1,0,Direct,800
R282,Singapore,Shanghai,2100,6,0,Direct,950
R283,New York,Tokyo,8500,23,1,Standard,2300
R284,Dubai,Los Angeles,8100,23,2,Alternative,2300
R285,Shanghai,Tokyo,1100,4,1,Recommended,750
R286,Chennai,Shanghai,2800,8,1,Recommended,1100
R287,Rotterdam,New York,3400,8,0,Direct,1250
R288,Tokyo,Sydney,4860,14,1,Recommended,1450
R289,Sydney,Hamburg,11400,32,1,Standard,2800
R290,Los Angeles,Singapore,7600,19,0,Direct,2400
R291,Hamburg,Dubai,4100,13,2,Alternative,1600
R292,Singapore,Rotterdam,8200,23,2,Standard,2300
R293,New York,Sydney,8700,24,1,Standard,2400
R294,Dubai,Tokyo,4300,13,1,Recommended,1600
R295,Shanghai,Chennai,2800,7,0,Direct,1050
R296,Chennai,Rotterdam,8650,24,1,Recommended,1500
R297,Rotterdam,Tokyo,11300,31,2,Alternative,3200
R298,Tokyo,Hamburg,11200,32,3,Alternative,3000
R299,Sydney,Los Angeles,6500,17,0,Direct,2100
R300,Los Angeles,Chennai,8200,23,1,Standard,2100
R301,Hamburg,New York,3500,10,1,Recommended,1400
R302,Singapore,Sydney,3400,9,0,Direct,1400
R303,New York,Rotterdam,3400,9,1,Recommended,1350
R304,Dubai,Sydney,6500,17,0,Direct,2300
R305,Shanghai,New York,8600,24,2,Alternative,2500
R306,Chennai,Los Angeles,8200,22,1,Standard,2100
R307,Rotterdam,Singapore,8200,22,1,Standard,2150
R308,Tokyo,Los Angeles,4800,11,0,Direct,1800
R309,Sydney,Rotterdam,11500,35,2,Alternative,2800
R310,Los Angeles,Shanghai,5700,14,0,Direct,1900
R311,Hamburg,Tokyo,11200,30,1,Standard,2800
R312,Singapore,Tokyo,2900,7,0,Direct,1100
R313,New York,Shanghai,8600,23,1,Standard,2400
R314,Dubai,Rotterdam,6400,18,1,Standard,1900
R315,Shanghai,Singapore,2100,7,1,Recommended,1000
R316,Chennai,Hamburg,8400,23,1,Standard,1600
R317,Rotterdam,Dubai,6400,17,0,Direct,1950
R318,Tokyo,Chennai,3500,9,0,Direct,1200
R319,Sydney,Tokyo,4860,12,0,Direct,1500
R320,Los Angeles,Sydney,6500,18,1,Recommended,2050
R321,Hamburg,Chennai,8400,22,0,Direct,1700
R322,Singapore,Dubai,3200,10,1,Recommended,1350
R323,New York,Chennai,7500,20,1,Standard,1950
R324,Dubai,Shanghai,5100,14,1,Recommended,1700
R325,Shanghai,Sydney,4300,12,1,Recommended,1500
R326,Chennai,Singapore,1600,5,1,Recommended,900
R327,Rotterdam,Shanghai,10500,29,2,Alternative,2900
R328,Tokyo,Rotterdam,11300,30,1,Standard,3100
R329,Sydney,Singapore,3400,10,1,Recommended,1450
R330,Los Angeles,Hamburg,8200,22,1,Standard,2200
R331,Hamburg,Singapore,8400,23,1,Standard,2100
R332,Singapore,Los Angeles,7600,21,1,Standard,2300
R333,New York,Hamburg,3500,9,0,Direct,1300
R334,Dubai,Hamburg,4100,11,0,Direct,1450
R335,Shanghai,Rotterdam,10500,28,1,Standard,2950
R336,Chennai,Sydney,4900,14,1,Recommended,1650
R337,Rotterdam,Chennai,8650,25,2,Standard,2200
R338,Tokyo,Singapore,2900,8,1,Recommended,1150
R339,Sydney,Los Angeles,6500,18,0,Direct,2200
R340,Los Angeles,Tokyo,4800,11,0,Direct,1750
R341,Hamburg,Los Angeles,8200,22,1,Standard,2200
R342,Singapore,Hamburg,8400,23,1,Standard,2100
R343,New York,Los Angeles,4300,13,1,Standard,1550
R344,Dubai,New York,6100,17,1,Standard,2350
R345,Shanghai,Los Angeles,5700,14,0,Direct,1900
R346,Chennai,Dubai,1500,5,1,Recommended,950
R347,Rotterdam,Sydney,11500,31,0,Direct,3100
R348,Tokyo,Dubai,4300,13,1,Recommended,1600
R349,Sydney,Dubai,6500,17,0,Direct,2300
R350,Los Angeles,Shanghai,5700,15,1,Recommended,2050
R351,Hamburg,Dubai,4100,11,0,Direct,1450
R352,Singapore,Chennai,1600,4,0,Direct,800
R353,New York,Dubai,6100,16,0,Direct,2200
R354,Dubai,Chennai,1500,4,0,Direct,850
R355,Shanghai,Hamburg,10800,30,2,Alternative,3050
R356,Chennai,Tokyo,3500,9,0,Direct,1200
R357,Rotterdam,New York,3400,9,1,Recommended,1350
R358,Tokyo,Sydney,4860,12,0,Direct,1500
R359,Sydney,Chennai,4900,14,1,Recommended,1650
R360,Los Angeles,Hamburg,8200,23,2,Alternative,2150
R361,Hamburg,Rotterdam,300,1,0,Direct,800
R362,Singapore,Tokyo,2900,7,0,Direct,1100
R363,New York,Singapore,8300,23,1,Standard,2300
R364,Dubai,Tokyo,4300,12,0,Direct,1500
R365,Shanghai,Dubai,3500,9,0,Direct,1400
R366,Chennai,New York,7500,20,1,Standard,1950
R367,Rotterdam,Los Angeles,7800,21,1,Standard,2100
R368,Tokyo,New York,8500,23,1,Standard,2300
R369,Sydney,New York,8700,24,1,Standard,2400
R370,Los Angeles,Rotterdam,7800,22,2,Alternative,2100
R371,Hamburg,Shanghai,10800,28,1,Standard,3100
R372,Singapore,New York,8300,24,2,Alternative,2200
R373,New York,Chennai,7500,21,2,Alternative,1900
R374,Dubai,Singapore,3200,10,1,Recommended,1350
R375,Shanghai,Tokyo,1100,3,0,Direct,700
R376,Chennai,Shanghai,2800,7,0,Direct,1050
R377,Rotterdam,Shanghai,10500,28,1,Standard,2950
R378,Tokyo,Shanghai,1100,4,1,Recommended,750
R379,Sydney,Hamburg,11400,34,2,Alternative,2900
R380,Los Angeles,Dubai,8100,23,2,Alternative,2150
R381,Hamburg,Dubai,4100,11,0,Direct,1450
R382,Singapore,Shanghai,2100,7,1,Recommended,1000
R383,New York,Tokyo,8500,24,2,Alternative,2250
R384,Dubai,Los Angeles,8100,22,1,Standard,2200
R385,Shanghai,Chennai,2800,8,1,Recommended,1100
R386,Chennai,Rotterdam,8650,26,2,Alternative,1400
R387,Rotterdam,Sydney,11500,33,1,Standard,2900
R388,Tokyo,Hamburg,11200,30,1,Standard,2800
R389,Sydney,Tokyo,4860,14,1,Recommended,1450
R390,Los Angeles,Singapore,7600,21,1,Standard,2300
R391,Hamburg,Chennai,8400,22,0,Direct,1700
R392,Singapore,Rotterdam,8200,21,0,Direct,2200
R393,New York,Sydney,8700,25,2,Alternative,2350
R394,Dubai,Hamburg,4100,12,1,Recommended,1500
R395,Shanghai,New York,8600,23,1,Standard,2400
R396,Chennai,Singapore,1600,6,2,Alternative,850
R397,Rotterdam,Tokyo,11300,30,1,Standard,3100
R398,Tokyo,Dubai,4300,14,2,Alternative,1550
R399,Sydney,Los Angeles,6500,19,1,Recommended,2150
R400,Los Angeles,Chennai,8200,24,2,Alternative,2000
R401,Hamburg,Rotterdam,300,2,1,Alternative,850
R402,Singapore,Sydney,3400,10,1,Recommended,1450
R403,New York,Shanghai,8600,24,2,Alternative,2300
R404,Dubai,Rotterdam,6400,17,0,Direct,1950
R405,Shanghai,Dubai,3500,10,1,Recommended,1450
R406,Chennai,Los Angeles,8200,21,0,Direct,2200
R407,Rotterdam,Hamburg,300,1,0,Direct,800
R408,Tokyo,Sydney,4860,15,2,Alternative,1400
R409,Sydney,Rotterdam,11500,32,0,Direct,2950
R410,Los Angeles,Shanghai,5700,16,2,Alternative,2000
R411,Hamburg,New York,3500,11,2,Alternative,1350
R412,Singapore,Tokyo,2900,9,2,Alternative,1050
R413,New York,Rotterdam,3400,10,2,Alternative,1200
R414,Dubai,Sydney,6500,19,2,Alternative,2250
R415,Shanghai,Singapore,2100,8,2,Alternative,900
R416,Chennai,Hamburg,8400,25,2,Alternative,1550
R417,Rotterdam,Singapore,8200,24,2,Alternative,2050
R418,Tokyo,Los Angeles,4800,12,1,Recommended,1750
R419,Sydney,Shanghai,4300,14,2,Alternative,1500
R420,Los Angeles,Sydney,6500,18,1,Recommended,2050
R421,Hamburg,Tokyo,11200,32,3,Alternative,3000
R422,Singapore,Dubai,3200,11,2,Alternative,1250
R423,New York,Los Angeles,4300,14,2,Alternative,1500
R424,Dubai,Shanghai,5100,15,2,Alternative,1650
R425,Shanghai,Sydney,4300,11,0,Direct,1600
R426,Chennai,Sydney,4900,13,0,Direct,1750
R427,Rotterdam,Chennai,8650,23,0,Direct,2300
R428,Tokyo,Rotterdam,11300,29,0,Direct,3200
R429,Sydney,New York,8700,22,0,Direct,2500
R430,Los Angeles,Hamburg,8200,21,0,Direct,2350
R431,Hamburg,Singapore,8400,22,0,Direct,2300
R432,Singapore,New York,8300,22,0,Direct,2400
R433,New York,Chennai,7500,19,0,Direct,2100
R434,Dubai,Chennai,1500,6,2,Alternative,800
R435,Shanghai,Rotterdam,10500,27,0,Direct,3000
R436,Chennai,Rotterdam,8650,22,0,Direct,2300
R437,Rotterdam,Tokyo,11300,33,3,Alternative,3300
R438,Tokyo,Singapore,2900,8,1,Recommended,1150
R439,Sydney,Dubai,6500,18,1,Standard,2450
R440,Los Angeles,New York,4300,14,2,Alternative,1600
R441,Hamburg,Dubai,4100,12,1,Recommended,1500
R442,Singapore,Hamburg,8400,24,2,Standard,2200
R443,New York,Los Angeles,4300,12,0,Direct,1500
R444,Dubai,New York,6100,16,0,Direct,2200
R445,Shanghai,Los Angeles,5700,15,1,Recommended,2050
R446,Chennai,Tokyo,3500,10,1,Recommended,1250
R447,Rotterdam,Sydney,11500,34,2,Alternative,3000
R448,Tokyo,Dubai,4300,12,0,Direct,1500
R449,Sydney,Shanghai,4300,13,1,Standard,1550
R450,Los Angeles,Tokyo,4800,13,2,Alternative,1850
R451,Hamburg,Shanghai,10800,30,2,Alternative,3200
R452,Singapore,Chennai,1600,6,2,Alternative,950
R453,New York,Dubai,6100,18,2,Alternative,2450
R454,Dubai,Rotterdam,6400,19,2,Standard,2000
R455,Shanghai,Hamburg,10800,28,1,Standard,3100
R456,Chennai,New York,7500,21,2,Alternative,2050
R457,Rotterdam,Los Angeles,7800,22,2,Alternative,2200
R458,Tokyo,New York,8500,24,2,Alternative,2400
R459,Sydney,Chennai,4900,15,2,Alternative,1750
R460,Los Angeles,Rotterdam,7800,21,1,Standard,2100
R461,Hamburg,Los Angeles,8200,23,2,Alternative,2300
R462,Singapore,New York,8300,23,1,Standard,2300
R463,New York,Singapore,8300,24,2,Alternative,2400
R464,Dubai,Singapore,3200,9,0,Direct,1300
R465,Shanghai,Dubai,3500,10,1,Recommended,1450
R466,Chennai,Dubai,1500,4,0,Direct,850
R467,Rotterdam,Hamburg,300,2,1,Alternative,850
R468,Tokyo,Shanghai,1100,3,0,Direct,700
R469,Sydney,New York,8700,25,2,Alternative,2600
R470,Los Angeles,Dubai,8100,22,1,Standard,2200
R471,Hamburg,Rotterdam,300,1,0,Direct,800
R472,Singapore,Shanghai,2100,6,0,Direct,950
R473,New York,Tokyo,8500,23,1,Standard,2300
R474,Dubai,Los Angeles,8100,23,2,Alternative,2300
R475,Shanghai,Tokyo,1100,4,1,Recommended,750
R476,Chennai,Shanghai,2800,8,1,Recommended,1100
R477,Rotterdam,New York,3400,8,0,Direct,1250
R478,Tokyo,Sydney,4860,14,1,Recommended,1450
R479,Sydney,Hamburg,11400,32,1,Standard,2800
R480,Los Angeles,Singapore,7600,19,0,Direct,2400
R481,Hamburg,Dubai,4100,13,2,Alternative,1600
R482,Singapore,Rotterdam,8200,23,2,Standard,2300
R483,New York,Sydney,8700,24,1,Standard,2400
R484,Dubai,Tokyo,4300,13,1,Recommended,1600
R485,Shanghai,Chennai,2800,7,0,Direct,1050
R486,Chennai,Rotterdam,8650,24,1,Recommended,1500
R487,Rotterdam,Tokyo,11300,31,2,Alternative,3200
R488,Tokyo,Hamburg,11200,32,3,Alternative,3000
R489,Sydney,Los Angeles,6500,17,0,Direct,2100
R490,Los Angeles,Chennai,8200,23,1,Standard,2100
